"X","X2014_F05600_ln","X2014_F10400_ln","X2014_CAPAS_ln","X2014_F05510_ln","X2014_F10500_ln","X2014_F10300_ln","X2014_RETA_ln","X2014_F02200_ln","X2014_V16140_ln","not_survive"
69,7.37588214821501,5.29831736654804,-1.06264819856156,8.94468068355889,9.70941724870763,6.58617165485467,-0.747962373250041,6.46302945692067,3.2188758248682,0
70,5.41610040220442,5.41164605185504,-2.42882369760396,8.32142158689788,8.40804774415544,6.53087762772588,-0.371571944322048,7.00124562206948,3.73766961828337,0
71,0,4.58496747867057,-5.27811465923052,6.00388706710654,3.3322045101752,4.48863636973214,-0.0291991546922624,5.28826703069454,2.83321334405622,0
72,4.29045944114839,3.13549421592915,1.00215202248055,1.79175946922805,2.94443897916644,4.51085950651685,-3.07269331469012,3.36729582998647,2.56494935746154,0
75,7.58426481838906,2.70805020110221,-2.1888460670986,8.98857087621512,8.95014375645926,6.28599809450886,-1.51086439350382,5.63835466933375,3.04452243772342,0
76,2.77258872223978,1.38629436111989,-3.12779199556706,0,8.52555810774787,5.52146091786225,-7.32383056620232,1.6094379124341,3.73766961828337,0
77,1.09861228866811,1.79175946922805,-4.70048036579242,1.6094379124341,2.89037175789616,6.00881318544259,-3.87535902105655,2.63905732961526,3.3322045101752,0
78,2.83321334405622,3.71357206670431,-2.66136308712956,4.14313472639153,7.96901178110648,4.87519732320115,-2.32766477739107,4.36944785246702,3.40119738166216,0
79,5.69035945432406,4.18965474202643,-1.61367136296604,5.95583736946483,10.1997328556484,5.54126354515843,-2.36461074449173,5.61312810638807,3.25809653802148,0
81,0,1.79175946922805,-5.99893656194668,0.693147180559945,7.10496544826984,4.36944785246702,-4.83628190695148,5.79909265446053,2.89037175789616,0
82,4.78749174278205,4.26267987704132,-1.93402454182133,6.99301512293296,7.78862606562503,4.71849887129509,-0.123379021160505,6.73221070646721,2.56494935746154,0
83,0,2.19722457733622,-5.53338948872752,0,4.85203026391962,4.52178857704904,-5.34233425196481,5.36597601502185,2.94443897916644,0
87,0,0,-7.34923082461333,0,3.43398720448515,4.86753445045558,-2.77258872223978,1.94591014905531,3.40119738166216,1
92,4.69134788222914,1.38629436111989,0.621403275701104,2.19722457733622,7.67042852219069,4.86753445045558,-6.56596894753716,3.36729582998647,3.25809653802148,0
94,3.17805383034795,3.04452243772342,-3.35528768035808,4.04305126783455,5.72358510195238,4.34380542185368,-2.66013684540631,5.72358510195238,2.56494935746154,0
95,0.693147180559945,1.94591014905531,-3.55534806148941,4.82028156560504,6.0591231955818,4.61512051684126,-0.586890205855082,2.484906649788,2.83321334405622,0
96,4.14313472639153,2.56494935746154,-0.587786664902119,1.79175946922805,9.97613374252098,4.95582705760126,-4.77350550080731,3.8286413964891,2.99573227355399,0
97,4.00733318523247,5.16478597392351,-6.88550967003482,2.77258872223978,7.73892375743946,5.54907608489522,-5.62672142851974,8.15133333790043,3.29583686600433,0
